task	protocol	MEG	CI_lower	CI_upper	p_value	mean_Q	baseline_Q	best_baseline	mean_hidden_raw	baseline_hidden_raw	n_cells
bench-tsp-50	self-refine	-0.0770	-0.1228	-0.0247	0.9720	0.0675	0.1445	vgs	24057.1062	22525.0446	5
bench-tsp-50	best-of-n	-0.0033	-0.0443	0.0468	0.5050	0.1411	0.1445	vgs	22591.1587	22525.0446	5
bench-tsp-50	vgs	0.0000	-0.0616	0.0638	0.5460	0.1445	0.1445	vgs	22525.0446	22525.0446	5
bench-tsp-50	homo-chain	-0.0376	-0.0962	0.0254	0.8400	0.1069	0.1445	vgs	23273.4048	22525.0446	5
bench-tsp-50	cross-chain	-0.0210	-0.0624	0.0279	0.7720	0.1234	0.1445	vgs	22943.6447	22525.0446	5
bench-tsp-50	magicore	-0.0458	-0.1299	0.0536	0.8220	0.0987	0.1445	vgs	23435.6637	22525.0446	5
bench-tsp-50	debate	-0.0176	-0.0611	0.0354	0.7070	0.1269	0.1445	vgs	22875.6159	22525.0446	5
bench-tsp-50	moa	-0.0499	-0.0979	0.0076	0.9600	0.0946	0.1445	vgs	23518.0819	22525.0446	10
bench-molecule-qed	single-shot	-0.0898	-0.2198	0.0466	0.8810	0.3394	0.4293	vgs	0.7358	0.7717	5
bench-molecule-qed	self-refine	-0.0409	-0.1573	0.0699	0.7610	0.3883	0.4293	vgs	0.7553	0.7717	10
bench-molecule-qed	best-of-n	-0.0276	-0.1668	0.1034	0.6610	0.4017	0.4293	vgs	0.7607	0.7717	10
bench-molecule-qed	vgs	0.0000	-0.1167	0.1182	0.4920	0.4293	0.4293	vgs	0.7717	0.7717	10
bench-molecule-qed	homo-chain	-0.1018	-0.2220	0.0262	0.9280	0.3274	0.4293	vgs	0.7310	0.7717	5
bench-molecule-qed	cross-chain	-0.0816	-0.2202	0.0583	0.8480	0.3477	0.4293	vgs	0.7391	0.7717	5
bench-molecule-qed	magicore	-0.1164	-0.2434	0.0087	0.9360	0.3129	0.4293	vgs	0.7252	0.7717	5
bench-molecule-qed	debate	0.0444	-0.0743	0.1498	0.2980	0.4736	0.4293	vgs	0.7895	0.7717	5
bench-molecule-qed	moa	0.0077	-0.1450	0.1497	0.4630	0.4369	0.4293	vgs	0.7748	0.7717	10
bench-tfbind-10	single-shot	0.0000	0.0000	0.0000	1.0000	0.4277	0.4277	self-refine	0.4780	0.4780	5
bench-tfbind-10	self-refine	0.0000	0.0000	0.0000	1.0000	0.4277	0.4277	self-refine	0.4780	0.4780	4
bench-heilbronn-n12	single-shot	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	0.0000	0.0000	5
bench-heilbronn-n12	self-refine	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	0.0000	0.0000	1

# Aggregate MEG
protocol	MEG	CI_lower	CI_upper
single-shot	-0.0713	-0.1350	-0.0173
self-refine	-0.0273	-0.0484	-0.0094
best-of-n	-0.0363	-0.0860	-0.0017
vgs	-0.0386	-0.1056	0.0000
homo-chain	-0.0395	-0.0909	-0.0018
cross-chain	-0.0375	-0.0638	-0.0140
magicore	-0.0461	-0.0803	-0.0180
debate	-0.0689	-0.1831	0.0190
moa	-0.0047	-0.0648	0.0502
